reviewId,content,gender,location,date,score,cluster_id,prob_topico_0,prob_topico_1,prob_topico_2,prob_topico_3,prob_topico_4,prob_topico_5,prob_topico_6
38e79664-42aa-4fff-a3d7-08c831778153,I can't able to see any comments of anyone post & also my insta front is white and can't able to see my following people recent post please solve this problem quickly.,male,"Cape Town, South Africa",2023-05-02,NEGATIVO,1,0.01830437,0.41585252,0.13951482,0.07579222,0.025274795,0.2920689,0.033192426
48f19e98-3d26-4b3c-bb89-80db6639ff46,Respected Instagram admin: I am very happy to use this app.But I am unable to add to story any video please fix this bug as soon as possible. The app is somewhat distructive.And I am unable to add highlight. I hope that the admin will fix the bug as soon as possible And this the most worstttttt app I had ever seen 🙏,male,"Prague, Czech Republic",2021-06-05,NEGATIVO,1,0.017890435,0.5500837,0.030352818,0.16355315,0.18331029,0.022292994,0.032516774
b734b40b-a340-4d0d-8eb1-a75033ec1a7d,I can't see filters in the camera please help,male,"Krakow, Poland",2022-02-05,NEGATIVO,1,0.028474009,0.5465176,0.04824734,0.037964836,0.039296653,0.24772242,0.051777083
4cd3dd11-4264-470a-803b-17739b188222,Good. Easy to use,male,"Edinburgh, United Kingdom",2021-11-06,NEGATIVO,5,0.035992783,0.04989138,0.061075207,0.047988757,0.04968881,0.69021606,0.06514696
fcac57c4-e9d0-45be-8320-8c431d97a923,professor,male,"Karachi, Pakistan",2022-04-12,NEGATIVO,6,0.1015249,0.14071658,0.17202969,0.13536234,0.14010945,0.12649673,0.18376033
19ff382f-7ff8-4364-a539-450b9f7909f1,Great,male,"Algiers, Algeria",2023-01-03,NEGATIVO,6,0.1015249,0.14071658,0.17202969,0.13536234,0.14010945,0.12649673,0.18376033
2b42e21a-f61b-4c3b-9deb-5e5921ccf87e,Every time new real results vertical opposite ( 180 degree roatated,male,"Tripoli, Libya",2023-05-06,NEGATIVO,4,0.028465444,0.039463345,0.048232943,0.03797647,0.5746471,0.03546646,0.23574822
41d0bc05-648c-4b67-b806-54958d667b26,𝓜𝓻..𝓗𝓲𝓽𝓽𝓾.𝓷𝓪𝓷𝓸𝓶𝓪,male,"Karachi, Pakistan",2022-05-12,NEGATIVO,6,0.1015249,0.14071658,0.17202969,0.13536234,0.14010945,0.12649673,0.18376033
d4af2421-be65-4409-99fa-2aa89be8c42e,Very bad I am unfollowing and it again following automatically,male,"Auckland, New Zealand",2025-06-10,NEGATIVO,2,0.036043614,0.049965054,0.7060281,0.04805675,0.049757447,0.0449099,0.06523912
c817ce44-2d28-4e9b-ad89-e6c3fcf6631d,I can't get access to my Instagram account because I don't have access to the email and phone number I signed up with... I tried everything.. video selfie.. almost everything... I'm not making another account please may I have my account back,male,"Rabat, Morocco",2023-05-03,NEGATIVO,1,0.018695233,0.57878625,0.03168456,0.02493017,0.2887415,0.023299495,0.033862807
2404dc8c-8fde-4176-a76f-eb2ec5a72a9d,There is a problem with reels,male,"Phuket, Thailand",2022-05-02,NEGATIVO,6,0.03596982,0.049903303,0.061083168,0.047970094,0.3232693,0.044818312,0.43698594
02a07fa5-1fad-411f-a907-91392f9d5c54,Man i hate this app i cant send photos all together i have to send it one by one and some dont even send i cant even log back in my main acc anymore it all my friends and gcs were there and i even list my 1k followers gitchs alot sometimes doesnt even let me text i would have deleted this app ages ago if my friends were on them i hate it nothing can change my mind anymore,male,"Rio de Janeiro, Brazil",2025-02-01,NEGATIVO,1,0.017631534,0.71415144,0.16540588,0.023529688,0.024361266,0.021973727,0.0329465
aab32ef7-8aa4-4773-8a3f-0474ee893ef6,"Hi please upgret instagram, A new to full Tu upgred An new adavas phichar",female,"Queenstown, New Zealand",2025-11-08,NEGATIVO,1,0.030144546,0.44053423,0.0510781,0.040191364,0.041603852,0.037558835,0.35888904
39bd5872-43be-4271-b5e3-56bc32f09c38,It's not good 😏😏,male,"Dubai, United Arab Emirates",2022-11-10,NEGATIVO,5,0.03683556,0.051055398,0.062415905,0.04911557,0.050834585,0.68307096,0.066672035
752474ca-1b47-44fb-b89e-9d90aae80686,It's hard getting start up or if you've been in here for years. No likes No comments No followers TikTok is way better.,male,"Guayaquil, Ecuador",2024-08-04,NEGATIVO,3,0.022116477,0.03065904,0.037526846,0.81109715,0.030544188,0.027560253,0.040496055
bfdae039-e272-4cf5-93c1-d42c0985de78,All my reels are posting upside down,male,"Wellington, New Zealand",2025-06-07,NEGATIVO,6,0.032030176,0.044438653,0.05427392,0.04271286,0.044274166,0.039914537,0.74235564
2ec1213a-50cf-4d81-b122-927bcacacc5b,"I can no longer upload photos or uninstall or reinstall this app. I get a message ""something went wrong"" and no error code, no clues how to fix. Since I can't uninstall it or reinstall it, don't bother suggesting that. It's just dead on my PC. I'd have to try using a cell phone to upload photos. Dumb.",female,"Canberra, Australia",2025-07-08,NEGATIVO,3,0.016949113,0.3736744,0.028899103,0.50521785,0.023411933,0.021122051,0.030725542
0000c389-503f-408b-a8f4-daed5f559696,Suspended and deactivated my account and the appeal option didn't work,male,"Madrid, Spain",2021-08-09,NEGATIVO,1,0.032022905,0.7289263,0.054261386,0.04270061,0.044193126,0.039899632,0.05799598
c20f7d78-a805-4bbb-9f8b-54311c25c0d4,"After update,my reels option has vanished 😤😤",male,"Gold Coast, Australia",2025-06-10,NEGATIVO,1,0.029374136,0.48691297,0.049772553,0.039171726,0.040560797,0.30101824,0.053189553
