reviewId,content,gender,location,date,score
931571b9-ccd0-4049-bfe5-19d19080e049,"In my experience, i lose track of time scrolling on TikTok. It makes the experience less enjoyable.",male,"Riyadh, Saudi Arabia",2017-03-31,NEGATIVO
d9f8b698-68fb-4013-ab28-95695d5c6cb9,One issue is that it feels very addictive. It gets frustrating after a while.,male,"Paris, France",2016-10-19,NEGATIVO
063b6a2e-6639-4750-a6b6-8b9ed3720354,One issue is that i keep seeing the same trends repeatedly.,male,"Monterrey, Mexico",2018-01-12,NEGATIVO
60de1337-b29b-456f-ab26-3d4aae474682,The main problem is that some videos get views randomly while others don’t. It makes it harder to stay focused.,male,"Lima, Peru",2018-10-04,NEGATIVO
ed0f242d-bb9b-4b4d-b7fa-a097290b16a2,"So far, the comment sections can be very toxic. It becomes overwhelming.",male,"Johannesburg, South Africa",2017-11-29,NEGATIVO
ad71201f-3b9a-4ffb-9a10-d6b9d0190ea1,"For me, i’m concerned about data privacy. It makes it harder to stay focused.",male,"Seattle, United States",2018-02-04,NEGATIVO
15aa7c54-6f2c-495d-a0ee-f22bcdc14ab6,"In my experience, there are too many ads and promotions. It becomes overwhelming.",male,"Marseille, France",2016-10-12,NEGATIVO
1a881d1e-69d5-4092-bfaf-55c331b54e4d,One issue is that it’s hard to focus after using it. It becomes overwhelming.,male,"Denver, United States",2018-02-06,NEGATIVO
edfe2679-86c8-4b1f-bb8f-04b5761a8d83,"So far, there’s too much content to keep up with.",female,"Gold Coast, Australia",2019-05-12,NEGATIVO
41d53a61-724e-41bd-92f7-30a1aa8a10fe,One issue is that content quality varies a lot. It makes it harder to stay focused.,male,"Quito, Ecuador",2019-02-09,NEGATIVO
85cd6f4c-9c35-4979-aa6f-e0808bd1cd75,One issue is that i lose track of time scrolling on TikTok. That part could definitely be improved.,male,"Brasília, Brazil",2018-10-09,NEGATIVO
28d56d41-88d5-4f6d-87aa-82a36164c757,"Honestly, it feels very addictive. It makes the experience less enjoyable.",male,"Lyon, France",2017-01-18,NEGATIVO
7e73cb6a-9fe3-46b0-903b-dacbb3f67207,"I wanted to like it, but i keep seeing the same trends repeatedly. That part could definitely be improved.",female,"Canberra, Australia",2019-03-25,NEGATIVO
8e7334b0-fb1b-43ad-ac37-e2ff2499068d,What bothers me is that some videos get views randomly while others don’t. It gets frustrating after a while.,male,"Port Moresby, Papua New Guinea",2019-02-15,NEGATIVO
4c3c6bbe-6bb9-48ce-b414-d567f2e0e4f4,"Honestly, the comment sections can be very toxic.",male,"Singapore, Singapore",2017-03-16,NEGATIVO
35e646af-b390-4f7f-b7b7-0c02239594e0,What bothers me is that i’m concerned about data privacy. It gets frustrating after a while.,male,"Ottawa, Canada",2018-07-02,NEGATIVO
7b1bfc57-8403-4466-8606-067ce4bdce3c,"Personally, there are too many ads and promotions. It ends up feeling repetitive.",male,"Barcelona, Spain",2016-10-20,NEGATIVO
ea4bc28f-7465-4964-b556-7eae35c41756,"Honestly, it’s hard to focus after using it. It makes the experience less enjoyable.",male,"Madrid, Spain",2017-01-26,NEGATIVO
a1cd67bd-24e1-44c4-b058-d7581b932e65,"Honestly, there’s too much content to keep up with. It makes the experience less enjoyable.",male,"Dar es Salaam, Tanzania",2017-08-16,NEGATIVO
6cf86a3a-f102-4384-aba6-00529c40ae90,"Honestly, content quality varies a lot. It makes it harder to stay focused.",male,"Beijing, China",2017-03-09,NEGATIVO
457e935a-7eae-4b20-993d-8e4f02577fa3,"In my experience, i lose track of time scrolling on TikTok.",male,"Asunción, Paraguay",2018-11-08,NEGATIVO
ab6ba209-c743-4ae0-b129-0ecfbebbbd82,"I wanted to like it, but it feels very addictive. That part could definitely be improved.",male,"Córdoba, Argentina",2019-01-07,NEGATIVO
bdea9b31-fe6f-4d0d-ae7b-e786a1d05e7e,What bothers me is that i keep seeing the same trends repeatedly. It becomes overwhelming.,male,"Windhoek, Namibia",2017-09-14,NEGATIVO
bf107c0b-086c-4dd9-b0b1-1ce8f1af6831,The main problem is that some videos get views randomly while others don’t. It makes the app hard to control.,male,"Accra, Ghana",2017-08-19,NEGATIVO
78e5ba6d-fee2-4526-850d-fde3b13e5b39,One issue is that the comment sections can be very toxic. It makes the app hard to control.,male,"Dublin, Ireland",2017-01-21,NEGATIVO
f338f8c6-0b8f-49d1-857e-2271daaf80dd,"For me, i’m concerned about data privacy.",male,"Stockholm, Sweden",2016-12-24,NEGATIVO
922ee845-c386-491f-8848-d71be8573c25,"So far, there are too many ads and promotions. It gets frustrating after a while.",male,"Caracas, Venezuela",2018-09-22,NEGATIVO
019cf643-3af9-42d7-b61f-cb5b02b3d1c5,"In my experience, it’s hard to focus after using it. It becomes overwhelming.",male,"Phoenix, United States",2018-05-30,NEGATIVO
33ed148b-969e-4049-a65d-9138c49c183c,"For me, there’s too much content to keep up with. It becomes overwhelming.",male,"Rome, Italy",2016-11-25,NEGATIVO
979cbaf1-9a1b-4602-a238-88fc0e14c8c7,"For me, content quality varies a lot. It makes it harder to stay focused.",male,"Dallas, United States",2018-01-29,NEGATIVO
65564a7a-5655-4781-ac1e-806d48d99a6b,"So far, i lose track of time scrolling on TikTok. It makes the app hard to control.",male,"Dakar, Senegal",2017-11-11,NEGATIVO
97557104-0201-4fdd-9d19-8bc72fa6e043,One issue is that it feels very addictive. It becomes overwhelming.,male,"Asunción, Paraguay",2019-02-06,NEGATIVO
f57bfaea-95cf-4911-97b7-5558535e7c38,"In my experience, i keep seeing the same trends repeatedly. It makes the app hard to control.",male,"Bogotá, Colombia",2018-09-27,NEGATIVO
ddb494a7-119c-40a1-b2b2-0da5b7644d09,"So far, some videos get views randomly while others don’t.",male,"Ottawa, Canada",2018-06-02,NEGATIVO
77434af6-d68a-4202-ab17-3628ef9aaafa,"I wanted to like it, but the comment sections can be very toxic. It gets frustrating after a while.",male,"Houston, United States",2018-04-12,NEGATIVO
7d892b9a-9cb6-4995-b01e-46371edaa432,"For me, i’m concerned about data privacy.",female,"Christchurch, New Zealand",2019-05-20,NEGATIVO
5ab10398-67cb-4e0a-add7-c0d84e9a88f1,"I wanted to like it, but there are too many ads and promotions. It makes it harder to stay focused.",female,"Canberra, Australia",2019-06-27,NEGATIVO
0fda73c0-5c6a-484b-93c7-f743b411a528,One issue is that it’s hard to focus after using it. It gets frustrating after a while.,male,"Dar es Salaam, Tanzania",2017-09-07,NEGATIVO
882c42b8-8c7b-49a5-b5cb-92291b1fb5cc,"So far, there’s too much content to keep up with.",male,"Taipei, Taiwan",2017-05-31,NEGATIVO
b23f4519-792d-430e-af43-f112860e9e3b,"I wanted to like it, but content quality varies a lot. It ends up feeling repetitive.",male,"Rosario, Argentina",2018-12-16,NEGATIVO
44a99432-8963-45f2-896b-b38f553baf75,"In my experience, i lose track of time scrolling on TikTok. It makes the experience less enjoyable.",male,"Hamburg, Germany",2016-12-03,NEGATIVO
02d6d035-6b1e-447e-8612-3b5b785af90f,"I wanted to like it, but it feels very addictive. It makes the app hard to control.",male,"Pretoria, South Africa",2017-10-04,NEGATIVO
161c323d-990e-4c5b-9cbc-dc99d7f2a7e6,What bothers me is that i keep seeing the same trends repeatedly. It ends up feeling repetitive.,male,"Oslo, Norway",2016-12-09,NEGATIVO
bdbdfa5e-c499-47d4-b277-bbb839942174,"In my experience, some videos get views randomly while others don’t. It makes the experience less enjoyable.",male,"Windhoek, Namibia",2017-08-19,NEGATIVO
2b8afa7b-01e4-46e0-8b75-ecafe37aed93,I’d say the comment sections can be very toxic. It makes the app hard to control.,male,"Rome, Italy",2016-12-10,NEGATIVO
9c005d74-a50d-442d-9af5-3331c74e729a,"Personally, i’m concerned about data privacy. It ends up feeling repetitive.",male,"Busan, South Korea",2017-07-21,NEGATIVO
6fa65136-22dd-48d7-b2b8-2263df183ff5,One issue is that there are too many ads and promotions. It makes it harder to stay focused.,male,"Córdoba, Argentina",2018-12-09,NEGATIVO
33eeaaa7-10ba-4115-8a87-b6ecddddc1a6,"So far, it’s hard to focus after using it. It makes the app hard to control.",female,"Perth, Australia",2019-04-05,NEGATIVO
6c2c4ebf-0bb1-4614-9e2c-7c62b249c1ab,The main problem is that there’s too much content to keep up with. It ends up feeling repetitive.,male,"Caracas, Venezuela",2018-12-12,NEGATIVO
267f4d10-8e9f-41ac-8fd4-1d9b58b0323d,"Personally, content quality varies a lot. That part could definitely be improved.",male,"Montreal, Canada",2018-04-22,NEGATIVO
b226a0c5-a9e0-4a3f-8dea-a35a8acf67d8,"In my experience, i lose track of time scrolling on TikTok. It makes the experience less enjoyable.",male,"Los Angeles, United States",2018-06-16,NEGATIVO
d82ac48b-aeeb-4d68-b779-11f9facf10fa,One issue is that it feels very addictive. That part could definitely be improved.,male,"Alexandria, Egypt",2017-10-01,NEGATIVO
325d8b22-d453-42b8-bfd6-190460cab902,What bothers me is that i keep seeing the same trends repeatedly. It makes the app hard to control.,male,"Jakarta, Indonesia",2017-03-20,NEGATIVO
3e049cb4-0a36-4a8e-bb99-518419cc4f6b,One issue is that some videos get views randomly while others don’t.,male,"Algiers, Algeria",2017-12-16,NEGATIVO
66ae9296-6d2d-42a6-b1e7-057247e3576a,"In my experience, the comment sections can be very toxic. That part could definitely be improved.",male,"Santiago, Chile",2018-10-12,NEGATIVO
d4c9ea1d-76af-41ab-a962-d069f9d15efa,"Honestly, i’m concerned about data privacy. It ends up feeling repetitive.",male,"Dublin, Ireland",2016-12-02,NEGATIVO
ad10af9a-52dc-4f3f-9211-89ffec822924,"In my experience, there are too many ads and promotions.",male,"Barcelona, Spain",2016-10-21,NEGATIVO
e5dd38d1-4d9f-417e-899d-677caf645d9b,I’d say it’s hard to focus after using it. It makes it harder to stay focused.,male,"São Paulo, Brazil",2018-11-20,NEGATIVO
462e67e9-22a1-4d35-a042-7e32a8847935,"For me, there’s too much content to keep up with. It makes it harder to stay focused.",male,"Lagos, Nigeria",2017-07-31,NEGATIVO
