Combinacion,Accuracy,Precision,Recall,F_score
alpha:0.01,0.8191,0.5998,0.6138,0.5916
alpha:0.02,0.8165,0.5944,0.6126,0.5893
alpha:0.03,0.8165,0.5979,0.6126,0.5897
alpha:0.04,0.8152,0.6016,0.6135,0.5899
alpha:0.05,0.8138,0.6007,0.6129,0.5890
alpha:0.06,0.8125,0.5998,0.6124,0.5880
alpha:0.07,0.8125,0.5998,0.6124,0.5880
alpha:0.08,0.8125,0.5998,0.6124,0.5880
alpha:0.09,0.8112,0.5948,0.6118,0.5866
alpha:0.1,0.8112,0.5948,0.6118,0.5866
alpha:0.11,0.8125,0.5961,0.6139,0.5880
alpha:0.12,0.8125,0.5961,0.6139,0.5880
alpha:0.13,0.8112,0.5952,0.6133,0.5871
alpha:0.14,0.8098,0.5939,0.6112,0.5857
alpha:0.15,0.8098,0.5939,0.6112,0.5857
alpha:0.16,0.8098,0.5939,0.6112,0.5857
alpha:0.17,0.8098,0.5939,0.6112,0.5857
alpha:0.18,0.8098,0.5939,0.6112,0.5857
alpha:0.19,0.8098,0.5939,0.6112,0.5857
alpha:0.2,0.8098,0.5939,0.6112,0.5857
alpha:0.21,0.8098,0.5939,0.6112,0.5857
alpha:0.22,0.8098,0.5939,0.6112,0.5857
alpha:0.23,0.8112,0.6068,0.6199,0.5965
alpha:0.24,0.8112,0.6068,0.6199,0.5965
alpha:0.25,0.8112,0.6068,0.6199,0.5965
alpha:0.26,0.8112,0.6029,0.6199,0.5959
alpha:0.27,0.8112,0.5995,0.6199,0.5954
alpha:0.28,0.8112,0.5995,0.6199,0.5954
alpha:0.29,0.8098,0.5955,0.6193,0.5939
alpha:0.3,0.8098,0.5955,0.6193,0.5939
alpha:0.31,0.8098,0.5955,0.6193,0.5939
alpha:0.32,0.8098,0.5955,0.6193,0.5939
alpha:0.33,0.8098,0.5955,0.6193,0.5939
alpha:0.34,0.8098,0.5927,0.6193,0.5935
alpha:0.35,0.8098,0.5927,0.6193,0.5935
alpha:0.36,0.8098,0.5927,0.6193,0.5935
alpha:0.37,0.8098,0.5927,0.6193,0.5935
alpha:0.38,0.8098,0.5927,0.6193,0.5935
alpha:0.39,0.8098,0.5927,0.6193,0.5935
alpha:0.4,0.8085,0.5888,0.6172,0.5913
alpha:0.41,0.8085,0.5888,0.6172,0.5913
alpha:0.42,0.8085,0.5888,0.6172,0.5913
alpha:0.43,0.8085,0.5888,0.6172,0.5913
alpha:0.44,0.8085,0.5888,0.6172,0.5913
alpha:0.45,0.8085,0.5888,0.6172,0.5913
alpha:0.46,0.8098,0.5897,0.6178,0.5923
alpha:0.47,0.8098,0.5897,0.6178,0.5923
alpha:0.48,0.8112,0.6001,0.6266,0.6020
alpha:0.49,0.8112,0.6001,0.6266,0.6020
alpha:0.5,0.8112,0.6001,0.6266,0.6020
alpha:0.51,0.8112,0.6001,0.6266,0.6020
alpha:0.52,0.8112,0.5974,0.6266,0.6011
alpha:0.53,0.8112,0.5974,0.6266,0.6011
alpha:0.54,0.8112,0.5974,0.6266,0.6011
alpha:0.55,0.8112,0.5974,0.6266,0.6011
alpha:0.56,0.8112,0.5974,0.6266,0.6011
alpha:0.57,0.8112,0.5974,0.6266,0.6011
alpha:0.58,0.8112,0.5974,0.6266,0.6011
alpha:0.59,0.8112,0.5974,0.6266,0.6011
