reviewId,content,gender,location,date,score,cluster_id,prob_topico_0,prob_topico_1,prob_topico_2,prob_topico_3,prob_topico_4
fd9f1f00-e6f1-4c87-a549-6928fa960153,Supper,male,"Rosario, Argentina",2017-01-10,POSITIVO,1,0.12942755,0.5815237,0.10557565,0.08102149,0.102451466
fb4e7686-2f0c-46d9-a5d4-4165f3c26cda,Super ❤️,male,"Warsaw, Poland",2013-11-20,POSITIVO,2,0.30329296,0.121990815,0.43414497,0.06207797,0.0784933
e2078d27-3a09-4fae-8f4b-be76a9a50a0f,Nice,male,"Dallas, United States",2015-11-19,POSITIVO,4,0.12940204,0.15920058,0.10556215,0.081014,0.5248212
62287bdc-f52d-4f4d-b147-df2e35a239c1,Super app,male,"Dar es Salaam, Tanzania",2015-02-06,POSITIVO,0,0.6045903,0.14183395,0.09194977,0.070751026,0.09087493
35c7af25-91b2-4867-ba5a-71fa852510f1,This is very good app,male,"Cancun, Mexico",2016-03-10,POSITIVO,0,0.61090636,0.14004421,0.090065844,0.06936186,0.089621775
e2f2eb29-d7f4-4f4e-b4e5-0bb468dd2b28,Nice 🥰,female,"Brisbane, Australia",2017-10-23,POSITIVO,2,0.091199294,0.11220034,0.5393192,0.057096157,0.20018502
abd0490e-7793-42b6-a362-b8170fd56d72,Aap is OK but it introduces new updates every day,male,"Casablanca, Morocco",2015-03-23,POSITIVO,0,0.52947766,0.09928495,0.24630196,0.060968705,0.06396666
f8a6edec-d06a-47c1-9e9c-b4acb6a13c99,Instagram is good app,male,"Mombasa, Kenya",2015-03-23,POSITIVO,0,0.41265896,0.1468094,0.2941028,0.06388561,0.08254329
edcda682-6835-4c43-9d53-6dae5bdc201a,I just like it so much,male,"Rio de Janeiro, Brazil",2017-01-15,POSITIVO,1,0.11139378,0.63980335,0.090882584,0.06973968,0.0881806
a30e2164-7882-4450-8d4e-7b08d9629e19,Music not working in my reels,male,"Tijuana, Mexico",2016-05-17,POSITIVO,1,0.09971932,0.45328373,0.08518446,0.06342853,0.29838392
4672b58c-642e-4bee-8fe0-fb8da43375c2,Excellent,male,"Durban, South Africa",2015-03-25,POSITIVO,4,0.12940232,0.15920277,0.105563045,0.08101452,0.5248173
95e67b99-19b6-4665-90aa-e8a01be440c6,Good .. but plzz connect all bugs and new features ..,male,"Arequipa, Peru",2016-07-30,POSITIVO,1,0.27161884,0.37312886,0.071131244,0.05458526,0.22953583
330dc321-aa74-4fc7-897b-3926d1b27df8,👍,male,"Mombasa, Kenya",2015-04-11,POSITIVO,0,0.551782,0.15920258,0.10556412,0.08101436,0.10243696
45e805a9-c496-43fd-874f-aba62078a617,Good,male,"Berlin, Germany",2014-01-19,POSITIVO,0,0.551787,0.15920064,0.105562165,0.08101399,0.10243612
f54cbfad-12d6-41e8-a4d4-96fe90b3b1b8,good,male,"Alexandria, Egypt",2015-06-28,POSITIVO,0,0.551787,0.15920064,0.105562165,0.08101399,0.10243612
f522dceb-651d-4c3f-b0b9-7c020d1c481e,Nice,male,"Cape Town, South Africa",2014-12-16,POSITIVO,4,0.12940204,0.15920058,0.10556215,0.081014,0.5248213
8e42592a-93fc-499a-af3e-ce97e704b699,I love this ❤️ app. But need to upgrade at some points especially while recording reels.,male,"Beijing, China",2014-06-04,POSITIVO,2,0.08332658,0.118063115,0.42777488,0.30723113,0.063604295
eb9ef6c6-22e4-4b22-b5ed-85608d989584,Good,female,"Gold Coast, Australia",2017-08-29,POSITIVO,0,0.551787,0.15920064,0.105562165,0.08101399,0.10243612
