reviewId,content,gender,location,date,score,cluster_id,prob_topico_0,prob_topico_1,prob_topico_2,prob_topico_3,prob_topico_4,prob_topico_5
38e79664-42aa-4fff-a3d7-08c831778153,I can't able to see any comments of anyone post & also my insta front is white and can't able to see my following people recent post please solve this problem quickly.,male,"Cape Town, South Africa",2023-05-02,NEGATIVO,3,0.028365275,0.02743209,0.03275033,0.8454057,0.04078288,0.02526371
ddfced8a-f510-468f-b5f6-2052f7073e82,"Ever since I got phished, I haven't been able to get into my account. I even changed my password and sent 2 face reveal videos. I cannot take a screenshot of the 'Error' screen. I've went through my phone number trying to login and it gives me an error. I go through my Gmail to change my password, I try to login, it doesn't say anything but gives me the option to login again. I spam login until it gives me another Error. I try logging in with Facebook, and it gives me another Error.",male,"Santiago, Chile",2024-09-20,NEGATIVO,3,0.28543684,0.0219697,0.026210014,0.42176837,0.032343384,0.21227165
48f19e98-3d26-4b3c-bb89-80db6639ff46,Respected Instagram admin: I am very happy to use this app.But I am unable to add to story any video please fix this bug as soon as possible. The app is somewhat distructive.And I am unable to add highlight. I hope that the admin will fix the bug as soon as possible And this the most worstttttt app I had ever seen 🙏,male,"Prague, Czech Republic",2021-06-05,NEGATIVO,1,0.027360296,0.84960246,0.03159847,0.028323997,0.03875045,0.024364365
955417af-827d-45fc-b6be-0ce678301893,most of the music added to reel and story is displaying audio unavailable after updating app,male,"Abu Dhabi, United Arab Emirates",2022-10-23,NEGATIVO,3,0.036692265,0.18420757,0.04247413,0.6519325,0.052038964,0.03265451
b734b40b-a340-4d0d-8eb1-a75033ec1a7d,I can't see filters in the camera please help,male,"Krakow, Poland",2022-02-05,NEGATIVO,3,0.04078856,0.03941692,0.04703688,0.6044843,0.057700656,0.21057269
4cd3dd11-4264-470a-803b-17739b188222,Good. Easy to use,male,"Edinburgh, United Kingdom",2021-11-06,NEGATIVO,1,0.048883837,0.7313821,0.0564651,0.050505377,0.06926365,0.04350001
fcac57c4-e9d0-45be-8320-8c431d97a923,professor,male,"Karachi, Pakistan",2022-04-12,NEGATIVO,4,0.15470815,0.14969206,0.17874636,0.1598821,0.2192678,0.1377036
19ff382f-7ff8-4364-a539-450b9f7909f1,Great,male,"Algiers, Algeria",2023-01-03,NEGATIVO,4,0.15470815,0.14969206,0.17874636,0.1598821,0.2192678,0.1377036
5454d590-20e5-4fb0-b5cd-8aa0ebfb19f0,Nz k sckakulaz Kadlmsgin,male,"Alexandria, Egypt",2023-03-29,NEGATIVO,4,0.15470815,0.14969206,0.17874636,0.1598821,0.2192678,0.1377036
bab28868-2a00-4a3c-b1c1-ca101dbb9a9b,When I upload reels it got Stuck,male,"Houston, United States",2023-11-22,NEGATIVO,4,0.045005705,0.043520164,0.052147195,0.36497936,0.4543181,0.040029485
2b42e21a-f61b-4c3b-9deb-5e5921ccf87e,Every time new real results vertical opposite ( 180 degree roatated,male,"Tripoli, Libya",2023-05-06,NEGATIVO,3,0.044183973,0.04269676,0.05098263,0.76029104,0.06257349,0.039272003
ec819be8-f991-4bb0-a7ac-18cef7d1aade,It's super Appa,male,"Quito, Ecuador",2024-07-23,NEGATIVO,3,0.068276614,0.066104226,0.07888552,0.6291924,0.096769266,0.060772017
41d0bc05-648c-4b67-b806-54958d667b26,𝓜𝓻..𝓗𝓲𝓽𝓽𝓾.𝓷𝓪𝓷𝓸𝓶𝓪,male,"Karachi, Pakistan",2022-05-12,NEGATIVO,4,0.15470815,0.14969206,0.17874636,0.1598821,0.2192678,0.1377036
