cluster_id,n_instancias,rank,palabra,prob_lda
0,973,1,nice,0.23324
0,973,2,app,0.08267
0,973,3,love,0.06501
0,973,4,nice app,0.06368
0,973,5,instagram,0.02795
0,973,6,love app,0.01869
0,973,7,like app,0.01495
0,973,8,social,0.01227
0,973,9,medium,0.01183
0,973,10,love instagram,0.01164
1,492,1,best,0.0752
1,492,2,heart,0.0456
1,492,3,red,0.0414
1,492,4,red heart,0.0414
1,492,5,best app,0.03578
1,492,6,app,0.02692
1,492,7,please,0.01802
1,492,8,mast,0.01658
1,492,9,heart red,0.01538
1,492,10,reel,0.01406
2,289,1,good app,0.08608
2,289,2,great,0.0657
2,289,3,good,0.06204
2,289,4,app,0.05995
2,289,5,wow,0.02551
2,289,6,wonderful,0.01947
2,289,7,superb,0.01783
2,289,8,happy,0.01378
2,289,9,great app,0.01354
2,289,10,plz,0.01006
3,318,1,awesome,0.03852
3,318,2,thumb,0.03811
3,318,3,ok,0.03414
3,318,4,hand,0.02543
3,318,5,interesting,0.02093
3,318,6,always,0.02076
3,318,7,find,0.01897
3,318,8,ok hand,0.01791
3,318,9,without,0.01761
3,318,10,searching,0.0174
4,674,1,good,0.21764
4,674,2,face,0.05105
4,674,3,smiling,0.04341
4,674,4,smiling face,0.03528
4,674,5,heart,0.026
4,674,6,eye,0.02442
4,674,7,face heart,0.02117
4,674,8,heart eye,0.01346
4,674,9,osm,0.01269
4,674,10,face smiling,0.01237
5,439,1,like,0.028
5,439,2,op,0.01854
5,439,3,well,0.01795
5,439,4,work,0.01775
5,439,5,really,0.01683
5,439,6,amazing,0.01676
5,439,7,one,0.01571
5,439,8,fun,0.01545
5,439,9,work really,0.01524
5,439,10,really well,0.01494
6,514,1,super,0.04055
6,514,2,experience,0.01758
6,514,3,stand,0.01586
6,514,4,excellent,0.01527
6,514,5,thing,0.01414
6,514,6,aap,0.01308
6,514,7,make,0.01295
6,514,8,people,0.0124
6,514,9,overall,0.01219
6,514,10,world,0.0121
