reviewId,content,gender,location,date,score,cluster_id,prob_topico_0,prob_topico_1,prob_topico_2,prob_topico_3,prob_topico_4,prob_topico_5,prob_topico_6
fd9f1f00-e6f1-4c87-a549-6928fa960153,Supper,male,"Rosario, Argentina",2017-01-10,POSITIVO,0,0.57896554,0.07369397,0.051638093,0.056248866,0.08494819,0.069685094,0.08482021
fb4e7686-2f0c-46d9-a5d4-4165f3c26cda,Super ❤️,male,"Warsaw, Poland",2013-11-20,POSITIVO,1,0.2704852,0.38176024,0.03315192,0.03611187,0.05471088,0.04473802,0.17904194
e2078d27-3a09-4fae-8f4b-be76a9a50a0f,Nice,male,"Dallas, United States",2015-11-19,POSITIVO,0,0.5789825,0.073686495,0.051636696,0.056247342,0.08494598,0.06968317,0.08481782
62287bdc-f52d-4f4d-b147-df2e35a239c1,Super app,male,"Dar es Salaam, Tanzania",2015-02-06,POSITIVO,6,0.07300249,0.056507085,0.039451294,0.042953283,0.06494668,0.05328884,0.66985035
35c7af25-91b2-4867-ba5a-71fa852510f1,This is very good app,male,"Cancun, Mexico",2016-03-10,POSITIVO,2,0.06875824,0.05555447,0.6515705,0.042372387,0.06530873,0.052508082,0.063927546
e2f2eb29-d7f4-4f4e-b4e5-0bb468dd2b28,Nice 🥰,female,"Brisbane, Australia",2017-10-23,POSITIVO,4,0.1246872,0.04189498,0.029308142,0.03192526,0.6844925,0.03955088,0.048141036
abd0490e-7793-42b6-a362-b8170fd56d72,Aap is OK but it introduces new updates every day,male,"Casablanca, Morocco",2015-03-23,POSITIVO,0,0.37264892,0.041463226,0.028863048,0.1326857,0.047473375,0.3277354,0.049130313
f8a6edec-d06a-47c1-9e9c-b4acb6a13c99,Instagram is good app,male,"Mombasa, Kenya",2015-03-23,POSITIVO,2,0.06032364,0.048200633,0.69790334,0.03669622,0.056070954,0.045462534,0.05534276
edcda682-6835-4c43-9d53-6dae5bdc201a,I just like it so much,male,"Rio de Janeiro, Brazil",2017-01-15,POSITIVO,5,0.06848552,0.055464067,0.038839195,0.04231513,0.063922934,0.6670891,0.06388402
a30e2164-7882-4450-8d4e-7b08d9629e19,Music not working in my reels,male,"Tijuana, Mexico",2016-05-17,POSITIVO,3,0.067755714,0.05531492,0.038400795,0.6602149,0.063217655,0.052016098,0.06307989
4672b58c-642e-4bee-8fe0-fb8da43375c2,Excellent,male,"Durban, South Africa",2015-03-25,POSITIVO,6,0.09052441,0.07368682,0.051647063,0.056266654,0.08494703,0.06968374,0.5732443
95e67b99-19b6-4665-90aa-e8a01be440c6,Good .. but plzz connect all bugs and new features ..,male,"Arequipa, Peru",2016-07-30,POSITIVO,1,0.05587111,0.5234122,0.24047172,0.033864632,0.05265314,0.042545434,0.051181745
330dc321-aa74-4fc7-897b-3926d1b27df8,👍,male,"Mombasa, Kenya",2015-04-11,POSITIVO,3,0.09114284,0.073733404,0.051636867,0.5440374,0.08494795,0.0696834,0.08481811
